id,name,company,salaty,job_experience,url
121109107,Data scientist ML,Ростелеком,0,От 1 года до 3 лет,https://hh.ru/vacancy/121109107
120906838,Data Scientist,Lime Credit Group,0,От 1 года до 3 лет,https://hh.ru/vacancy/120906838
120862685,Data Scientist,ВТБ Капитал,0,От 1 года до 3 лет,https://hh.ru/vacancy/120862685
120895716,Data Scientist,МПС софт,0,От 1 года до 3 лет,https://hh.ru/vacancy/120895716
121091087,Junior ML Engineer / Data scientist (Младший специалист МО),Инфосистемы Джет,0,От 1 года до 3 лет,https://hh.ru/vacancy/121091087
120974042,Аналитик данных (работа с ИИ),Галс-Девелопмент,0,От 1 года до 3 лет,https://hh.ru/vacancy/120974042
120966179,Data Scientist (команда Growth),Домклик,0,От 1 года до 3 лет,https://hh.ru/vacancy/120966179
120872744,Аналитик (AI проекты),СберЗдоровье,0,Нет опыта,https://hh.ru/vacancy/120872744
120868238,Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer,СтандартПроект,0,От 1 года до 3 лет,https://hh.ru/vacancy/120868238
121108633,Data scientist NLP,Ростелеком,0,От 1 года до 3 лет,https://hh.ru/vacancy/121108633
121084545,Data scientist (риск-моделирование),Recruitment Boutique S.M.Art,0,От 3 до 6 лет,https://hh.ru/vacancy/121084545
118570463,Младший специалист по анализу данных / Junior Data Scientist,Okkam,0,От 1 года до 3 лет,https://hh.ru/vacancy/118570463
120915452,Главный аналитик (Data Scientist),Аэрофлот,0,От 1 года до 3 лет,https://hh.ru/vacancy/120915452
120815344,Data Scientist в трейдинг,Changellenge,0,Нет опыта,https://hh.ru/vacancy/120815344
120803675,Data Scientist,Lens Consulting,0,От 1 года до 3 лет,https://hh.ru/vacancy/120803675
120725934,Data Scientist Computer Vision,Социальная карта,0,От 1 года до 3 лет,https://hh.ru/vacancy/120725934
120986075,Data Scientist,Детский мир,0,От 3 до 6 лет,https://hh.ru/vacancy/120986075
120576000,Junior Data Scientist,Kept (Кэпт),0,От 1 года до 3 лет,https://hh.ru/vacancy/120576000
121066319,Data Scientist,Лига Цифровой Экономики,0,От 3 до 6 лет,https://hh.ru/vacancy/121066319
120815212,Data Scientist в трейдинг,Changellenge,0,Нет опыта,https://hh.ru/vacancy/120815212
119842690,Data Scientist,Koronatech,0,От 1 года до 3 лет,https://hh.ru/vacancy/119842690
120923505,Data scientist (Middle),Employcity,0,От 1 года до 3 лет,https://hh.ru/vacancy/120923505
121041558,Data Scientist,Спортлевел,0,От 3 до 6 лет,https://hh.ru/vacancy/121041558
120389801,"Data Scientist/Разработчик машинного обучения (ML, NLP, LLM) Middle",B2B-Center,0,От 1 года до 3 лет,https://hh.ru/vacancy/120389801
