Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Директор по информационной безопасности Группы/Chief Information Security Officer,Finstar Financial Group,Опыт работы от 6 лет на соответствующей должности в сфере ИТ-безопасности (CISO). Высшее образование или эквивалентная квалификация уровня бакалавра. ,"Общее управление ИС в распределенной группе компаний финансовых услуг. Определение видения, целей и стратегии для ИС внутри группы компаний. ",Не указана,Более 6 лет,https://hh.ru/vacancy/121099307,121099307
GR-менеджер,UserGate,Высшее образование (предпочтительно по профилю Информационная безопасность). Опыт от 2-х лет в кибербезопасности и информационной безопасности,"Работа с профильными ассоциациями. Представление компании в технических комитетах, рабочих группах министерств и ведомств. Лоббирование интересов компании. Анализ изменений законодательства. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121046356,121046356
Мобильный системный инженер,Союз 76,"Опыт работы в аналогичной сфере приветствуется. Коммуникабельность, ответственность, желание развиваться и обучаться.","Обслуживание IT-оборудования на объектах заказчика (рабочие места, сервера, кассовые терминалы и тд). Предоставление отчетной документации по факту выполненных работ. ",100000 - 200000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121069532,121069532
Специалист по видеонаблюдению и мониторинга транспорта,ВСС,Высшее образование. Опыт работы в должности от 3-х лет. Готовность к редким и непродолжительным (до 2-х недель) командировкам. ,Установка и использование систем видеонаблюдения открытого и закрытого типа на технике и на территории объекта,120000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/121027154,121027154
Кадровый специалист по защите персональных данных,Управляющая компания Бамстроймеханизация,Наличие высшего образования и пройденных курсов повышения квалификации в области защиты персональных данных,"Проведение анализа процессов работы с персональными данными. Разработка локальных нормативных актов, планов, мероприятий",103448 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121054028,121054028
Специалист по защите информации,Министерство цифрового развития и связи Оренбургской области,"Будет Вашим преимуществом, если Вы: - имеете образование по направлениям ""Информационные технологии"" или ""Защита информации"". - знаете основы работы локально-вычислительных сетей. - ","работа на первой линии технической поддержки средств криптографической защиты информации (СКЗИ). - установка/настройка СКЗИ (VipnetClient, КриптоПро)",68000 -  RUR,Нет опыта,https://hh.ru/vacancy/120983185,120983185
Стажер по информационной безопасности,Лаборатория Касперского,"Интерес к области информационной безопасности, и желание в ней разбираться",Принимать участие в пилотировании и внедрении новых сервисов ИБ. Формировать требования ИБ и разрабатывать процессы контроля их реализации. ,Не указана,Нет опыта,https://hh.ru/vacancy/121023574,121023574
Системный инженер,Стандарт Строй,"Образование средне-техническое, или высшее, коммуникабельность. Знание компьютерного «железа», оргтехники, их ремонт и администрирование",Поддержание компьютерных сетей компании в работоспособном состоянии. Настройка и поддержка программного обеспечения на компьютерах,130000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120974196,120974196
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593424,120593424
Специалист по информационной безопасности,Блок Технологий,Знание и настройка средств защиты информации ведущих вендоров по ИБ. Опыт работы в сфере информационной безопасности,Установка и настройка средств защиты информации. Настройка средств защиты для оказания услуг клиентам. Оказание сервисов информационной безопасности,80000 RUR,Нет опыта,https://hh.ru/vacancy/117007345,117007345
DevOps инженер,IGA Technologies,Минимальный опыт работы DevOps-инженером на коммерческих проектах. Опыт работы с Kubernetes. Опыт написания Bash-скриптов. Знание систем мониторинга. ,"Установка и настройка приложений (виртуализация, Kubernetes). Подготовка, автоматизация подготовки инфраструктуры для сборки, развертывания и тестирования ПО (Ansible, Kubernetes, скрипты). ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121062562,121062562
Junior DevOps Engineer / Джуниор-DevOps-инженер,Островок,Опыт работы на схожей роли от одного года. Опыт работы с Linux. Знание Ansible. Знание Docker,Администрирование и поддержка работы сервисов. Настройка процессов сборки и доставки кода. Автоматизация и оптимизация рутинных действий.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120964056,120964056
DevOps Engineer (middle),Metacommerce,"Опыт работы с серверами Linux, пакетными менеджерами. Будет здорово, если есть опыт сборки собственных пакетов и организации репозиториев. ",Настраивать непрерывную интеграцию и доставку-развертывание (CI/CD) на GitLab. Находить и устранять неисправности в процессе CI/CD. ,150000 - 250000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120647195,120647195
